School Code,"Enrolled
(K-12)","Utilized
(K-12)","Percent_Eligable
Eligible FRPM 
(K-12)"
6011860,1335,527,0.39
6071385,926,420,0.45
6110035,574,87,0.15
0000001,40,6,0.15
0131573,93,18,0.19
1931187,2554,1054,0.41
1931237,2582,853,0.33
1933332,142,58,0.41
1995877,23,16,0.70
1996230,21,17,0.81
6011878,417,185,0.44
6011886,559,118,0.21
6011894,606,223,0.37
6011910,575,194,0.34
6011928,755,170,0.23
6011951,482,207,0.43
6011969,747,364,0.49
6011993,396,218,0.55
6012009,648,106,0.16
6012017,605,133,0.22
6012025,492,288,0.59
6057525,1062,397,0.37
6057533,970,406,0.42
6066724,1404,580,0.41
0000001,2,0,0.00
0101600,585,243,0.42
6012033,518,92,0.18
6106215,539,158,0.29
6107353,509,218,0.43
0000001,29,11,0.38
0118521,33,30,0.91
0128488,682,46,0.07
0128496,447,9,0.02
1930239,248,202,0.81
1933951,1922,1688,0.88
1934926,2283,1943,0.85
1935048,1857,1661,0.89
0000001,20,8,0.40
1930312,57,41,0.72
1931666,1514,780,0.52
1995885,52,16,0.31
1995927,6,3,0.50
6012041,438,274,0.63
6012066,721,468,0.65
6012090,396,254,0.64
6012116,735,432,0.59
6012132,444,257,0.58
6012140,382,188,0.49
0000001,7,1,0.14
1931807,69,43,0.62
1931823,2414,806,0.33
1996297,9,7,0.78
6012157,663,152,0.23
6012165,687,192,0.28
6012173,62,25,0.40
6012181,496,294,0.59
6012199,310,171,0.55
6012207,513,259,0.50
6012215,411,74,0.18
6012223,336,255,0.76
6057541,1098,421,0.38
0000001,29,7,0.24
0118646,2,0,0.00
1931617,149,116,0.78
1932086,1217,839,0.69
1936418,1274,921,0.72
1938372,1624,867,0.53
6012439,624,437,0.70
6012447,465,366,0.79
6012470,714,577,0.81
6012512,577,426,0.74
6012538,900,684,0.76
6012546,299,222,0.74
6012553,536,425,0.79
6012561,688,304,0.44
6012587,549,383,0.70
6012595,885,541,0.61
6012611,854,607,0.71
6012645,476,365,0.77
0000001,24,3,0.13
0128322,13,2,0.15
1932201,2146,818,0.38
1932656,41,21,0.51
6012660,561,187,0.33
6012678,842,118,0.14
6012686,582,214,0.37
6012694,564,75,0.13
6012702,598,362,0.61
6057608,1677,585,0.35
0000001,74,35,0.47
0135335,10,8,0.80
1931625,293,197,0.67
1932441,4042,2563,0.63
1939164,3638,2413,0.66
6012736,597,509,0.85
6012744,611,459,0.75
6012751,443,355,0.80
6012777,416,342,0.82
6012785,816,576,0.71
6012793,694,509,0.73
6012801,738,415,0.56
6012819,543,417,0.77
6012835,833,536,0.64
6012868,801,571,0.71
6012876,796,473,0.59
6012900,729,513,0.70
6057616,1376,891,0.65
6057624,1254,814,0.65
6057632,1236,979,0.79
6057640,1311,971,0.74
6114235,711,520,0.73
0000001,6,1,0.17
0128736,359,280,0.78
0134858,406,108,0.27
1932482,869,657,0.76
1936079,64,56,0.88
6012918,367,304,0.83
6012926,368,320,0.87
6012934,395,353,0.89
6012942,757,397,0.52
6012959,354,213,0.60
6057665,373,199,0.53
0122929,8,8,1.00
0129197,706,582,0.82
