School Code,"Enrolled
(K-12)","Utilized
(K-12)","Percent_Eligable
Eligible FRPM 
(K-12)"
0106070,752,573,0.76
0119313,727,539,0.74
0123174,456,444,0.97
0124099,786,703,0.89
0125559,706,427,0.60
0133462,417,327,0.78
1996420,971,771,0.79
6014674,743,661,0.89
6014682,663,626,0.94
6014690,544,500,0.92
6014708,873,788,0.90
6014716,546,500,0.92
6014724,777,674,0.87
6014740,938,876,0.93
6014757,616,559,0.91
6014765,618,560,0.91
6108393,765,585,0.76
6108401,777,712,0.92
6108419,713,606,0.85
6108526,60,58,0.97
6109276,747,446,0.60
6113294,961,870,0.91
6117022,54,52,0.96
0000001,18,1,0.06
0101154,827,102,0.12
0116129,386,40,0.10
1930080,2078,235,0.11
1931781,2000,273,0.14
6014781,846,125,0.15
6014799,622,82,0.13
6014807,599,45,0.08
6014815,455,29,0.06
6014823,372,39,0.10
6066765,983,123,0.13
6085658,545,119,0.22
6093025,377,122,0.32
6099030,617,55,0.09
6110563,598,44,0.07
0000001,9,0,0.00
0112144,875,716,0.82
1996438,523,433,0.83
6014831,730,640,0.88
6014856,534,456,0.85
6014898,425,341,0.80
6014906,550,366,0.67
6014914,610,541,0.89
6014922,998,856,0.86
6014930,699,588,0.84
0000001,6,2,0.33
0100602,583,535,0.92
0100610,624,601,0.96
0107508,467,396,0.85
0112250,215,206,0.96
0135038,246,118,0.48
1996313,634,605,0.95
6014948,667,623,0.93
6014955,536,512,0.96
6014963,903,859,0.95
6014971,871,818,0.94
6106736,1492,1448,0.97
0000000,1,1,1.00
0000001,3,0,0.00
6014997,283,220,0.78
6015036,479,319,0.67
6015044,905,625,0.69
6015051,327,247,0.76
6015069,614,446,0.73
6015077,551,358,0.65
6015085,431,310,0.72
6015093,488,328,0.67
6015101,393,306,0.78
0000000,39,10,0.26
0000001,235,92,0.39
0107458,390,344,0.88
0114603,1014,919,0.91
0115535,785,705,0.90
0125153,167,131,0.78
0127381,714,320,0.45
0127506,211,60,0.28
0131938,39,37,0.95
0132324,306,109,0.36
0132381,291,122,0.42
0135525,128,100,0.78
1930411,571,397,0.70
1934470,2646,2301,0.87
1934678,3196,1819,0.57
1935758,3605,1454,0.40
1936947,4142,2521,0.61
1937176,220,186,0.85
1939875,3703,2239,0.60
1995539,667,305,0.46
1995570,803,388,0.48
1995935,2331,1916,0.82
1996503,406,240,0.59
6015119,904,849,0.94
6015135,586,536,0.91
6015143,627,489,0.78
6015150,456,215,0.47
6015168,369,293,0.79
6015184,706,628,0.89
6015192,430,192,0.45
6015200,857,804,0.94
6015242,515,114,0.22
6015259,468,149,0.32
6015267,1034,284,0.27
6015275,612,571,0.93
6015283,513,122,0.24
6015309,514,117,0.23
6015317,593,134,0.23
6015325,710,651,0.92
6015333,749,381,0.51
6015341,1074,944,0.88
6015358,902,811,0.90
6015366,833,216,0.26
6015374,386,297,0.77
6015382,696,578,0.83
6015408,362,120,0.33
6015416,750,616,0.82
6015424,939,783,0.83
6015432,891,842,0.95
6015440,1064,1010,0.95
6015457,994,423,0.43
6015465,535,231,0.43
6015473,692,111,0.16
6015481,365,172,0.47
6015499,383,214,0.56
6015507,359,292,0.81
6015515,675,629,0.93
6015531,1077,887,0.82
6015549,349,51,0.15
6015556,861,213,0.25
6015572,799,700,0.88
6015580,557,145,0.26
6015598,387,257,0.66
6015606,1059,996,0.94
6015614,737,671,0.91
6015622,643,536,0.83
6015648,715,305,0.43
6015663,603,301,0.50
6015671,572,522,0.91
6015689,1006,848,0.84
6015697,722,667,0.92
6057780,917,807,0.88
6057798,795,538,0.68
6057806,1105,956,0.87
6057814,628,579,0.92
6057822,951,452,0.48
6057830,870,207,0.24
6057848,801,718,0.90
6061337,950,500,0.53
6061345,1297,1200,0.93
6061360,1491,891,0.60
6061378,1231,442,0.36
6061386,1090,1033,0.95
6108013,749,687,0.92
6109292,410,337,0.82
6112056,915,855,0.93
6116933,1242,1122,0.90
0000001,2550,1261,0.49
0100289,395,394,1.00
0100669,498,480,0.96
0100677,394,194,0.49
0100743,492,484,0.98
0100750,481,467,0.97
0100776,605,573,0.95
0100800,468,439,0.94
0100867,496,455,0.92
0101196,605,436,0.72
0101329,122,114,0.93
0101444,384,323,0.84
0101618,222,210,0.95
0101659,171,168,0.98
0101675,601,571,0.95
0101683,532,321,0.60
0102137,81,80,0.99
0102335,504,129,0.26
0102426,288,264,0.92
0102434,599,550,0.92
0102442,350,313,0.89
0102483,505,473,0.94
0102491,649,567,0.87
0102541,891,842,0.95
0102764,124,106,0.85
0102913,381,326,0.86
0102921,453,292,0.64
0106351,688,480,0.70
0106427,313,300,0.96
0106435,330,318,0.96
0106831,605,533,0.88
0106849,615,597,0.97
0106864,977,944,0.97
0106872,367,310,0.84
0106914,572,524,0.92
0106922,221,214,0.97
0106930,193,152,0.79
0106948,316,308,0.97
0106955,614,590,0.96
0106971,1174,1130,0.96
0106989,1044,993,0.95
0106997,832,786,0.94
0107003,1080,785,0.73
0107011,804,732,0.91
0107755,980,583,0.59
0108878,750,375,0.50
0108886,433,361,0.83
0108894,610,588,0.96
0108910,635,514,0.81
0108928,1468,666,0.45
0108936,595,558,0.94
0109181,199,175,0.88
0109199,212,184,0.87
0109207,263,216,0.82
0109223,136,120,0.88
0109231,238,223,0.94
0109249,281,258,0.92
0109256,192,172,0.90
0109264,172,154,0.90
0109272,290,242,0.83
0109280,194,179,0.92
0109298,133,114,0.86
0109306,120,107,0.89
0109314,421,385,0.91
0109322,549,490,0.89
0109330,641,608,0.95
0109348,425,413,0.97
0109355,404,372,0.92
0109363,508,462,0.91
0109371,700,663,0.95
0109389,502,483,0.96
0109397,498,462,0.93
0109405,430,400,0.93
0109413,626,565,0.90
0109421,524,476,0.91
0109439,314,296,0.94
0109447,1857,1773,0.95
0109454,2070,1942,0.94
0109462,1263,1187,0.94
0109512,177,167,0.94
0109884,391,361,0.92
0109934,446,130,0.29
0110304,348,335,0.96
0110668,150,145,0.97
0111211,435,420,0.97
0111484,84,82,0.98
0111492,584,561,0.96
0111500,441,413,0.94
0111518,432,421,0.97
0111575,618,607,0.98
0111583,608,597,0.98
0111625,579,548,0.95
0111641,1007,939,0.93
0111658,581,498,0.86
0111955,571,545,0.95
0111971,801,759,0.95
0111989,674,574,0.85
0111997,415,378,0.91
0112003,454,399,0.88
0112011,787,761,0.97
0112029,449,432,0.96
0112037,542,496,0.92
0112045,1418,1266,0.89
0112052,1182,1119,0.95
0112060,554,97,0.18
0112201,309,298,0.96
0112235,471,194,0.41
0112334,71,69,0.97
0112508,532,479,0.90
0112870,347,322,0.93
0114199,978,941,0.96
0114850,1491,1431,0.96
0114884,332,321,0.97
0114959,335,322,0.96
0114967,243,235,0.97
0115048,763,673,0.88
0115113,218,111,0.51
0115139,361,337,0.93
0115253,230,183,0.80
0115287,207,200,0.97
0116509,393,363,0.92
0116954,52,47,0.90
0117028,167,153,0.92
0117036,256,183,0.71
0117044,1052,999,0.95
0117051,1021,983,0.96
0117069,602,500,0.83
0117077,401,384,0.96
0117598,448,412,0.92
0117606,490,413,0.84
0117614,308,281,0.91
0117622,176,137,0.78
0117630,210,154,0.73
0117648,162,131,0.81
0117655,292,211,0.72
0117721,451,433,0.96
0117747,430,398,0.93
0117762,421,398,0.95
0117846,348,333,0.96
0117895,476,468,0.98
0117903,565,496,0.88
0117911,167,79,0.47
0117937,349,334,0.96
0117945,388,375,0.97
0117952,201,192,0.96
0117978,419,108,0.26
0118588,1532,1467,0.96
0119651,422,377,0.89
0119685,1153,1098,0.95
0119693,1004,914,0.91
0119701,334,330,0.99
0119727,1280,952,0.74
0119735,906,877,0.97
0119966,1088,1027,0.94
0119974,161,133,0.83
0119982,448,427,0.95
0120014,622,564,0.91
0120022,496,465,0.94
0120030,452,442,0.98
0120048,303,285,0.94
0120071,490,406,0.83
0120097,467,424,0.91
0120360,355,233,0.66
0120477,328,315,0.96
0120527,400,373,0.93
0120808,51,51,1.00
0121079,333,244,0.73
0121095,617,566,0.92
0121103,362,347,0.96
0121137,487,408,0.84
0121285,514,488,0.95
0121293,319,282,0.88
0121699,576,508,0.88
0121707,825,778,0.94
0121848,477,461,0.97
0122101,619,588,0.95
0122119,544,522,0.96
0122127,337,327,0.97
0122135,443,425,0.96
0122143,776,754,0.97
0122150,885,855,0.97
0122168,568,533,0.94
0122176,750,717,0.96
0122184,731,713,0.98
0122192,452,428,0.95
0122200,428,380,0.89
0122218,470,438,0.93
0122226,538,465,0.86
0122234,477,462,0.97
0122242,359,343,0.96
0122333,534,499,0.93
0122341,409,384,0.94
0122358,415,394,0.95
0122366,346,324,0.94
0122374,392,367,0.94
0122382,397,377,0.95
0122390,471,443,0.94
0122408,390,376,0.96
0122416,398,376,0.94
0122481,553,539,0.97
0122499,423,358,0.85
0122556,478,189,0.40
0122564,789,771,0.98
0122606,462,356,0.77
0122614,417,387,0.93
0122622,414,389,0.94
0122630,310,290,0.94
0122655,411,350,0.85
0122721,525,495,0.94
0122739,424,409,0.96
0122747,488,432,0.89
0122754,264,97,0.37
0122838,325,186,0.57
0122861,676,623,0.92
0123133,540,507,0.94
0123141,335,295,0.88
0123158,318,312,0.98
0123166,447,405,0.91
0123984,358,289,0.81
0123992,371,363,0.98
0124008,465,459,0.99
0124016,647,612,0.95
0124024,617,575,0.93
0124198,531,501,0.94
0124222,404,363,0.90
0124362,1151,742,0.64
0124370,472,354,0.75
0124388,534,479,0.90
0124396,458,381,0.83
0124404,383,330,0.86
0124412,241,228,0.95
0124420,283,256,0.90
0124446,427,407,0.95
0124453,432,423,0.98
0124479,1035,970,0.94
0124487,553,527,0.95
0124495,537,501,0.93
0124503,505,494,0.98
0124511,511,497,0.97
0124529,842,699,0.83
0124560,567,552,0.97
0124784,341,341,1.00
0124792,369,367,0.99
0124800,341,340,1.00
0124818,361,269,0.75
0124826,654,590,0.90
0124883,521,507,0.97
0124891,542,513,0.95
0124933,368,250,0.68
0124941,487,455,0.93
0125096,324,120,0.37
0125609,339,315,0.93
0125625,392,368,0.94
0125641,504,437,0.87
0125864,518,442,0.85
0125971,410,382,0.93
0125989,565,558,0.99
0126136,541,505,0.93
0126169,390,380,0.97
0126177,776,341,0.44
0126193,594,150,0.25
0126375,560,537,0.96
0126383,578,87,0.15
0126391,615,552,0.90
0126409,550,512,0.93
0126417,523,506,0.97
0126425,624,585,0.94
0126433,696,678,0.97
0126441,788,747,0.95
0126458,517,490,0.95
0126466,534,505,0.95
0126474,266,253,0.95
0126482,531,462,0.87
0126490,447,414,0.93
0126508,377,340,0.90
0126516,752,691,0.92
0126524,685,650,0.95
0126532,655,620,0.95
0126540,585,530,0.91
0126557,475,387,0.81
0126573,707,663,0.94
0126581,1212,1125,0.93
0126599,912,771,0.85
0126607,1168,168,0.14
0126615,561,414,0.74
0126623,506,326,0.64
0126797,545,503,0.92
0127217,342,263,0.77
0127670,560,496,0.89
0127787,489,418,0.85
0127795,454,435,0.96
0127803,187,176,0.94
0127829,282,268,0.95
0127852,203,151,0.74
0127878,359,352,0.98
0127886,360,171,0.48
0127894,473,432,0.91
0127910,462,445,0.96
0127936,420,375,0.89
0127977,187,138,0.74
0127985,216,206,0.95
0128009,417,395,0.95
0128025,344,259,0.75
0128033,440,410,0.93
0128041,445,437,0.98
0128058,441,427,0.97
0128116,62,59,0.95
0128132,412,405,0.98
0128371,305,160,0.52
0128389,141,105,0.74
0128512,474,433,0.91
0128710,648,595,0.92
0129270,494,472,0.96
0129460,564,538,0.95
0129536,228,209,0.92
0129585,774,750,0.97
0129593,299,252,0.84
0129619,313,234,0.75
0129627,282,263,0.93
0129650,272,255,0.94
0129825,318,305,0.96
0129833,143,133,0.93
0129858,250,232,0.93
0129866,280,228,0.81
0129874,262,235,0.90
0130997,250,245,0.98
0131466,301,256,0.85
0131722,288,225,0.78
0131771,347,329,0.95
0131797,336,308,0.92
0131821,136,118,0.87
0131839,177,148,0.84
0131847,139,135,0.97
0131870,243,226,0.93
0131904,220,208,0.95
0132027,341,311,0.91
0132084,558,499,0.89
0132126,203,164,0.81
0132282,284,247,0.87
0133272,778,621,0.80
0133280,541,381,0.70
0133298,563,493,0.88
0133603,319,151,0.47
0133686,76,72,0.95
0133694,206,178,0.86
0133702,162,140,0.86
0133710,196,161,0.82
0133736,204,55,0.27
0133744,272,248,0.91
0133868,172,149,0.87
0133884,159,140,0.88
0134023,276,276,1.00
0134148,351,85,0.24
0134205,122,118,0.97
0135129,84,51,0.61
0135509,126,116,0.92
0135517,221,195,0.88
0135616,124,112,0.90
0135632,74,32,0.43
0135681,394,288,0.73
0135707,111,52,0.47
0135715,72,67,0.93
0135723,106,99,0.93
0135855,1048,957,0.91
0135921,739,167,0.23
0135996,91,75,0.82
1930064,92,76,0.83
1930296,175,173,0.99
1930387,503,456,0.91
1930403,63,52,0.83
1930429,66,45,0.68
1930486,49,41,0.84
1930551,130,126,0.97
1930577,58,50,0.86
1930619,129,117,0.91
1930650,2441,2196,0.90
1930692,66,65,0.98
1930734,75,62,0.83
1930783,75,60,0.80
1930791,54,42,0.78
1930866,2609,2451,0.94
1930924,973,865,0.89
1930940,99,98,0.99
1930973,178,165,0.93
1931047,3154,2659,0.84
1931054,380,313,0.82
1931070,248,202,0.81
1931336,59,40,0.68
1931377,87,74,0.85
1931385,60,55,0.92
1931393,71,58,0.82
1931435,68,58,0.85
1931450,106,105,0.99
1931468,84,80,0.95
1931476,1415,1250,0.88
1931484,65,64,0.98
1931500,99,84,0.85
1931518,63,51,0.81
1931526,1520,1071,0.70
1931534,146,140,0.96
1931559,111,97,0.87
1931633,188,135,0.72
1931658,52,45,0.87
1931682,76,58,0.76
1931690,102,76,0.75
1931708,1864,1279,0.69
1931716,588,455,0.77
1931856,68,62,0.91
1931864,3158,2098,0.66
1931930,83,77,0.93
1931955,71,62,0.87
1931971,71,63,0.89
1931989,62,61,0.98
1931997,113,107,0.95
1932128,781,698,0.89
1932250,96,83,0.86
1932318,71,57,0.80
1932334,113,86,0.76
1932342,74,61,0.82
1932383,972,722,0.74
1932391,43,34,0.79
1932540,2325,1429,0.61
1932623,3567,1128,0.32
1932821,47,44,0.94
1932847,1655,951,0.57
1932888,1035,847,0.82
1932896,557,446,0.80
1932920,1918,1532,0.80
1932987,2766,2481,0.90
1933001,1573,1424,0.91
1933043,1407,1322,0.94
1933118,1871,1797,0.96
1933233,2085,1194,0.57
1933241,1431,1220,0.85
1933381,2531,2343,0.93
1933746,4739,2312,0.49
1933795,1888,1591,0.84
1933852,2637,1782,0.68
1934033,1525,1308,0.86
1934157,1500,1416,0.94
1934371,668,616,0.92
1934454,518,500,0.97
1935121,1119,1063,0.95
1935352,1293,1111,0.86
1935519,1408,1283,0.91
1935568,2396,1816,0.76
1935717,249,162,0.65
1935865,2185,1996,0.91
1936160,2195,1856,0.85
1936350,2501,1859,0.74
1937085,49,46,0.94
1937226,1522,1280,0.84
1937424,1267,1209,0.95
1937622,2053,1875,0.91
1937838,2437,1607,0.66
1938307,2734,2500,0.91
1938554,1663,1432,0.86
1938612,2364,1590,0.67
1938885,1564,1161,0.74
1938968,2712,2182,0.80
1939040,2038,1422,0.70
1939107,1283,978,0.76
1939305,888,808,0.91
1939479,965,710,0.74
1939784,323,214,0.66
1939859,1488,1380,0.93
1939941,2214,1733,0.78
1995448,1861,1655,0.89
1995794,290,282,0.97
1995836,3056,1043,0.34
1996073,263,234,0.89
1996115,1711,1276,0.75
1996610,505,293,0.58
1996651,35,30,0.86
6015705,227,212,0.93
6015713,517,401,0.78
6015721,729,676,0.93
6015739,399,319,0.80
6015747,513,480,0.94
6015754,592,471,0.80
6015762,767,682,0.89
6015770,446,382,0.86
6015796,414,270,0.65
6015804,395,352,0.89
6015812,99,97,0.98
6015820,226,185,0.82
6015838,172,150,0.87
6015846,439,248,0.56
6015853,316,287,0.91
6015861,455,433,0.95
6015879,462,426,0.92
6015887,870,830,0.95
6015895,307,243,0.79
6015903,217,199,0.92
6015929,387,282,0.73
6015945,330,286,0.87
6015952,628,583,0.93
6015960,804,747,0.93
6015978,529,469,0.89
6015986,606,144,0.24
6015994,345,185,0.54
6016018,741,707,0.95
6016026,407,350,0.86
6016034,460,410,0.89
6016042,532,387,0.73
6016059,448,285,0.64
6016067,157,124,0.79
6016075,385,363,0.94
6016083,637,512,0.80
6016091,192,187,0.97
6016109,641,542,0.85
6016117,267,220,0.82
6016125,618,119,0.19
6016133,243,189,0.78
6016141,586,547,0.93
6016158,792,666,0.84
6016166,392,316,0.81
6016174,871,830,0.95
6016182,395,298,0.75
6016208,385,359,0.93
6016216,201,176,0.88
6016224,384,354,0.92
6016232,485,397,0.82
6016240,428,92,0.21
6016257,563,380,0.67
6016265,405,273,0.67
6016273,605,556,0.92
6016281,368,113,0.31
6016299,626,587,0.94
6016307,477,420,0.88
6016315,887,730,0.82
6016323,388,19,0.05
6016331,422,346,0.82
6016349,934,673,0.72
6016356,1006,116,0.12
6016364,711,521,0.73
6016372,367,240,0.65
6016380,673,409,0.61
6016398,557,196,0.35
6016406,522,462,0.89
6016414,331,299,0.90
6016422,513,271,0.53
6016430,420,338,0.80
6016448,304,245,0.81
6016455,591,533,0.90
6016463,397,261,0.66
6016471,290,195,0.67
6016489,591,548,0.93
6016497,311,261,0.84
6016505,452,336,0.74
6016513,158,121,0.77
6016521,604,171,0.28
6016539,594,105,0.18
6016547,545,493,0.90
6016554,793,737,0.93
6016562,645,164,0.25
6016570,212,194,0.92
6016604,656,575,0.88
6016612,365,351,0.96
6016620,793,741,0.93
6016638,617,563,0.91
6016646,328,210,0.64
6016653,343,317,0.92
6016661,403,270,0.67
6016679,453,438,0.97
6016687,401,129,0.32
6016695,405,288,0.71
6016703,472,242,0.51
6016711,449,423,0.94
6016729,554,314,0.57
6016737,375,262,0.70
6016745,457,276,0.60
6016752,767,584,0.76
6016778,740,185,0.25
6016786,572,460,0.80
6016794,512,427,0.83
6016802,322,261,0.81
6016810,307,294,0.96
6016828,733,628,0.86
6016836,796,400,0.50
6016844,826,776,0.94
6016851,484,424,0.88
6016869,460,136,0.30
6016877,359,319,0.89
6016885,1797,1681,0.94
6016893,298,204,0.68
6016901,415,287,0.69
6016935,573,145,0.25
6016943,694,608,0.88
6016950,563,471,0.84
6016968,746,682,0.91
6016976,773,749,0.97
6016984,784,711,0.91
6016992,460,79,0.17
6017008,479,424,0.89
6017016,777,704,0.91
6017024,643,589,0.92
6017032,534,495,0.93
6017040,320,278,0.87
6017057,318,291,0.92
6017065,840,780,0.93
6017073,477,460,0.96
6017081,521,492,0.94
6017099,574,544,0.95
6017115,302,274,0.91
6017123,716,671,0.94
6017131,1068,983,0.92
6017149,760,725,0.95
6017156,201,180,0.90
6017164,517,471,0.91
6017172,499,177,0.35
6017180,524,473,0.90
6017198,447,382,0.85
6017206,394,351,0.89
6017214,574,531,0.93
6017222,413,237,0.57
6017230,359,317,0.88
6017248,658,596,0.91
6017255,342,307,0.90
6017263,520,293,0.56
6017271,366,338,0.92
6017289,467,360,0.77
6017297,180,173,0.96
6017305,315,231,0.73
6017313,329,285,0.87
6017321,786,751,0.96
6017339,426,290,0.68
6017347,729,472,0.65
6017354,510,437,0.86
6017362,582,557,0.96
6017388,559,474,0.85
6017396,443,402,0.91
6017404,851,783,0.92
6017412,822,746,0.91
6017420,502,419,0.83
6017438,319,171,0.54
6017446,705,662,0.94
6017453,726,227,0.31
6017461,603,557,0.92
6017479,424,318,0.75
6017487,466,437,0.94
6017495,756,712,0.94
6017503,592,437,0.74
6017511,612,577,0.94
6017529,417,101,0.24
6017537,789,725,0.92
6017545,641,595,0.93
6017552,527,444,0.84
6017586,600,552,0.92
6017594,149,143,0.96
6017602,651,615,0.94
6017610,238,229,0.96
6017628,937,909,0.97
6017636,743,681,0.92
6017644,611,503,0.82
6017651,624,585,0.94
6017669,359,335,0.93
6017677,590,564,0.96
6017685,461,62,0.13
6017693,390,146,0.37
6017701,554,50,0.09
6017719,326,106,0.33
6017727,1022,539,0.53
6017735,826,753,0.91
6017743,429,294,0.69
6017750,421,403,0.96
6017768,585,46,0.08
6017776,624,607,0.97
6017784,414,364,0.88
6017792,463,401,0.87
6017800,170,153,0.90
6017818,285,224,0.79
6017826,284,209,0.74
6017834,489,392,0.80
6017842,407,333,0.82
6017859,624,579,0.93
6017867,709,639,0.90
6017875,508,487,0.96
6017883,805,730,0.91
6017891,485,123,0.25
6017909,447,424,0.95
6017917,395,368,0.93
6017925,780,738,0.95
6017933,931,628,0.67
6017941,450,427,0.95
6017958,339,317,0.94
6017966,570,396,0.69
6017974,499,417,0.84
6017982,367,256,0.70
6017990,999,949,0.95
6018006,898,856,0.95
6018014,635,597,0.94
6018022,770,754,0.98
6018030,451,421,0.93
6018048,572,96,0.17
6018055,366,336,0.92
6018063,535,61,0.11
6018071,795,748,0.94
6018089,451,307,0.68
6018097,285,264,0.93
6018105,774,751,0.97
6018113,311,169,0.54
6018121,376,350,0.93
6018139,540,524,0.97
6018147,748,654,0.87
6018154,404,219,0.54
6018162,963,926,0.96
6018170,992,946,0.95
6018188,721,693,0.96
6018196,696,535,0.77
6018204,814,740,0.91
6018212,377,359,0.95
6018220,599,525,0.88
6018238,372,234,0.63
6018246,402,74,0.18
6018253,444,343,0.77
6018261,462,448,0.97
6018279,484,442,0.91
6018287,521,327,0.63
6018295,417,338,0.81
6018303,656,619,0.94
6018311,379,326,0.86
6018337,973,938,0.96
6018345,571,547,0.96
6018352,899,855,0.95
6018360,833,773,0.93
6018378,733,708,0.97
6018386,1065,1031,0.97
6018394,894,826,0.92
6018402,286,204,0.71
6018410,859,809,0.94
6018428,313,290,0.93
6018436,506,476,0.94
6018444,526,475,0.90
6018469,635,604,0.95
6018477,818,661,0.81
6018485,556,540,0.97
6018493,373,244,0.65
6018501,414,366,0.88
6018519,454,435,0.96
6018527,547,530,0.97
6018535,864,818,0.95
6018543,523,503,0.96
6018550,795,729,0.92
6018568,410,400,0.98
6018576,764,711,0.93
6018592,345,292,0.85
6018618,497,47,0.09
6018626,393,355,0.90
6018634,499,41,0.08
6018642,1272,1058,0.83
6018659,325,249,0.77
6018667,494,466,0.94
6018675,702,408,0.58
6018683,846,801,0.95
6018691,600,536,0.89
6018709,458,280,0.61
6018717,231,219,0.95
6018725,294,259,0.88
6018741,275,129,0.47
6018758,847,773,0.91
6018766,343,215,0.63
6018774,644,169,0.26
6018790,443,332,0.75
6018808,487,423,0.87
6018816,387,357,0.92
6018824,542,514,0.95
6018832,529,456,0.86
6018840,559,523,0.94
6018857,390,349,0.89
6018873,286,146,0.51
6018881,375,345,0.92
6018907,455,200,0.44
6018915,373,358,0.96
6018923,617,228,0.37
6018931,394,332,0.84
6018949,356,216,0.61
6018956,594,541,0.91
6018964,457,27,0.06
6018972,299,276,0.92
6018980,255,129,0.51
6018998,868,805,0.93
6019004,917,873,0.95
6019012,630,568,0.90
6019020,637,572,0.90
6019038,693,525,0.76
6019046,279,218,0.78
6019053,738,704,0.95
6019061,456,430,0.94
6019079,926,905,0.98
6019087,566,485,0.86
6019095,369,334,0.91
6019103,145,131,0.90
6019111,670,255,0.38
6019129,429,267,0.62
6019137,1080,1037,0.96
6019145,535,467,0.87
6019152,680,632,0.93
6019160,442,408,0.92
6019178,824,788,0.96
6019186,828,244,0.29
6019194,460,375,0.82
6019202,300,190,0.63
6019210,371,327,0.88
6019228,237,191,0.81
6019236,574,524,0.91
6019244,806,769,0.95
6019251,619,583,0.94
6019269,866,824,0.95
6019277,241,156,0.65
6019285,202,192,0.95
6019293,1006,958,0.95
6019301,477,219,0.46
6019319,423,328,0.78
6019327,558,530,0.95
6019335,547,496,0.91
6019343,284,243,0.86
6019350,292,284,0.97
6019368,607,538,0.89
6019376,384,286,0.74
6019384,543,490,0.90
6019392,508,274,0.54
6019400,564,512,0.91
6019418,882,813,0.92
6019426,720,365,0.51
6019434,368,330,0.90
6019442,703,655,0.93
6019459,666,649,0.97
6019467,625,173,0.28
6019475,1051,944,0.90
6019483,582,549,0.94
6019491,650,585,0.90
6019509,337,285,0.85
6019517,433,338,0.78
6019525,295,45,0.15
6019533,610,236,0.39
6019541,319,260,0.82
6019558,316,307,0.97
6019566,490,342,0.70
6019574,662,592,0.89
6019582,608,589,0.97
6019590,732,703,0.96
6019608,625,578,0.92
6019616,430,292,0.68
6019624,1105,1073,0.97
6019632,445,411,0.92
6019640,897,839,0.94
6019657,236,57,0.24
6019665,357,288,0.81
6019673,470,193,0.41
6019681,212,188,0.89
6019699,634,588,0.93
6019707,416,344,0.83
6019715,2962,2887,0.97
6019723,571,449,0.79
6019731,629,593,0.94
6019749,226,218,0.96
6019756,448,405,0.90
6019764,566,516,0.91
6019772,476,427,0.90
6019780,154,137,0.89
6019798,831,488,0.59
6019806,350,330,0.94
6019814,715,681,0.95
6019822,284,129,0.45
6019830,652,50,0.08
6019848,484,475,0.98
6019855,816,130,0.16
6019863,713,645,0.90
6019871,424,80,0.19
6019889,752,726,0.97
6019905,560,513,0.92
6019913,410,329,0.80
6019921,286,190,0.66
6019939,829,92,0.11
6019947,361,129,0.36
6019954,636,135,0.21
6019962,776,715,0.92
6019970,150,126,0.84
6019988,570,489,0.86
6019996,522,425,0.81
6020002,524,452,0.86
6020010,522,65,0.12
6020028,818,779,0.95
6020036,533,216,0.41
6020044,696,123,0.18
6020051,735,651,0.89
6020069,241,206,0.85
6057855,853,827,0.97
6057871,801,698,0.87
6057889,1022,987,0.97
6057897,994,871,0.88
6057905,1455,1334,0.92
6057913,867,670,0.77
6057921,794,772,0.97
6057939,1481,1403,0.95
6057947,701,643,0.92
6057954,1612,1155,0.72
6057962,802,784,0.98
6057988,613,340,0.55
6057996,1350,1150,0.85
6058002,1566,1475,0.94
6058028,440,428,0.97
6058036,1459,1390,0.95
6058044,525,498,0.95
6058051,1023,982,0.96
6058069,1310,1011,0.77
6058077,762,666,0.87
6058085,2022,1511,0.75
6058093,1423,881,0.62
6058101,616,590,0.96
6058127,602,514,0.85
6058135,660,480,0.73
6058143,1071,1043,0.97
6058150,1833,832,0.45
6058168,768,589,0.77
6058176,808,763,0.94
6058184,1381,1265,0.92
6058192,799,751,0.94
6058200,822,751,0.91
6058218,1190,1089,0.92
6058226,1353,844,0.62
6058242,1532,1105,0.72
6058267,2134,528,0.25
6058275,1617,843,0.52
6058283,747,705,0.94
6058291,1305,1202,0.92
6058309,1937,1802,0.93
6058317,1230,1176,0.96
6058325,746,700,0.94
6058333,1083,933,0.86
6058341,1121,1041,0.93
6058358,462,408,0.88
6058366,1683,1297,0.77
6058374,1496,1405,0.94
6058382,637,421,0.66
6060461,127,96,0.76
6060495,167,145,0.87
6060503,186,122,0.66
6060511,95,53,0.56
6060529,233,226,0.97
6060545,286,250,0.87
6060578,55,26,0.47
6060586,101,96,0.95
6061394,490,455,0.93
6061402,799,770,0.96
6061410,1790,1425,0.80
6061436,1723,1144,0.66
6061444,1220,1180,0.97
6061451,1886,1669,0.88
6061469,1593,1530,0.96
6061477,2191,777,0.35
6061485,1161,791,0.68
6061501,823,753,0.91
6061519,1760,1625,0.92
6061527,736,718,0.98
6061535,675,643,0.95
6061543,2409,1227,0.51
6061550,1164,1067,0.92
6061568,694,580,0.84
6061576,1287,1153,0.90
6061584,1847,1030,0.56
6061600,1548,1441,0.93
6062699,1584,852,0.54
6066278,755,735,0.97
6066286,343,320,0.93
6066294,487,422,0.87
6068431,1158,1057,0.91
6069157,480,333,0.69
6071435,738,156,0.21
6071443,298,278,0.93
6089700,516,475,0.92
6094726,452,147,0.33
6097927,407,72,0.18
6100069,747,195,0.26
6104814,340,330,0.97
6104822,393,370,0.94
6107064,513,480,0.94
6107403,841,756,0.90
6107411,783,739,0.94
6108641,934,832,0.89
6110266,737,710,0.96
6110274,995,924,0.93
