Zip Code,Median,Mean,Pop
41762,30139.00,38784.00,107.00
41763,19560.00,34624.00,574.00
41764,31737.00,33701.00,741.00
41766,30139.00,38784.00,131.00
41772,33749.00,41896.00,277.00
41773,23816.00,38062.00,1273.00
41774,39879.00,48498.00,2659.00
41775,22378.00,32395.00,114.00
41776,31236.00,34849.00,1509.00
41777,31737.00,33701.00,947.00
41804,23006.00,39899.00,720.00
41810,32151.00,46922.00,502.00
41812,43264.00,43038.00,230.00
41815,31761.00,43423.00,802.00
41817,38975.00,44976.00,251.00
41819,23006.00,39899.00,392.00
41821,23006.00,39899.00,537.00
41822,38871.00,44926.00,2553.00
41824,34384.00,42948.00,1072.00
41825,33043.00,46610.00,548.00
41826,23006.00,39899.00,978.00
41828,26667.00,37629.00,808.00
41831,38388.00,44636.00,849.00
41832,23006.00,39899.00,424.00
41833,23006.00,39899.00,321.00
41834,28659.00,39607.00,659.00
41835,32151.00,46922.00,790.00
41836,29948.00,40292.00,798.00
41837,35786.00,48501.00,1284.00
41838,32151.00,46922.00,548.00
41839,25188.00,36979.00,1193.00
41840,32151.00,46922.00,1111.00
41843,28659.00,39607.00,949.00
41844,39287.00,45128.00,1355.00
41845,23006.00,39899.00,293.00
41847,28659.00,39607.00,617.00
41848,23006.00,39899.00,80.00
41849,32151.00,46922.00,193.00
41855,34594.00,43979.00,696.00
41858,34082.00,45325.00,8064.00
41859,26667.00,37629.00,349.00
41861,25585.00,37154.00,108.00
41862,26667.00,37629.00,952.00
42001,47734.00,64688.00,27960.00
42003,39381.00,50211.00,28418.00
42020,38421.00,46182.00,2330.00
42021,34184.00,42676.00,1505.00
42022,45000.00,50116.00,104.00
42023,29321.00,40447.00,2422.00
42024,43914.00,61918.00,1490.00
42025,43066.00,55316.00,19305.00
42027,42522.00,56984.00,2291.00
42028,29701.00,44141.00,635.00
42029,50089.00,53787.00,6321.00
42031,31836.00,44971.00,3418.00
42032,31836.00,44971.00,192.00
42035,38775.00,44594.00,1068.00
42036,42433.00,48755.00,1167.00
42037,27199.00,54988.00,29.00
42038,42920.00,49675.00,5298.00
42039,36258.00,54334.00,1751.00
42040,46133.00,58224.00,1082.00
42041,31962.00,39691.00,4627.00
42044,41683.00,52769.00,3404.00
42045,41858.00,53300.00,2089.00
