,Mean Scale Score,County Name,School Code,District Code,Zip Code,District Name,Total_Budget,Total_Students,Per_Student_Spending,Median,Mean,Pop,YearsTeaching,Enrolled,Utilized,Percent_Eligible,Percent_Utilized,Sanctuary
80,2430.125,San Luis Obispo,6101570,75457,93446,Paso Robles Joint Unified,"71,911,209","6,439.9","11,166","60,862","76,121","43,714",14.0,714,404,0.57,0.565826330532,0.0
81,2464.8,San Mateo,6043665,68890,94019,Cabrillo Unified,"33,754,718","3,141.0","10,747","98,239","129,782","18,424",12.3888888889,792,321,0.41,0.405303030303,1.0
82,2395.38333333,Santa Barbara,6045512,69203,93434,Guadalupe Union Elementary,"14,127,794","1,168.2","12,094","42,627","47,529","7,110",10.5555555556,862,696,0.81,0.807424593968,0.0
83,2452.78333333,Santa Barbara,6045520,69203,93434,Guadalupe Union Elementary,"14,127,794","1,168.2","12,094","42,627","47,529","7,110",10.5555555556,436,391,0.9,0.896788990826,0.0
84,2449.6,Santa Clara,6047922,69583,95037,Morgan Hill Unified,"81,954,837","8,013.6","10,227","99,390","120,102","45,579",13.1636363636,470,324,0.69,0.689361702128,1.0
85,2470.85,Santa Clara,6095384,69583,95037,Morgan Hill Unified,"81,954,837","8,013.6","10,227","99,390","120,102","45,579",13.1636363636,842,416,0.49,0.49406175772,1.0
86,2397.65,Santa Clara,6047948,69583,95046,Morgan Hill Unified,"81,954,837","8,013.6","10,227","109,510","139,519","6,417",13.1636363636,621,393,0.63,0.632850241546,1.0
87,2374.85,Sonoma,6052369,75358,95492,Windsor Unified,"41,384,793","3,844.6","10,764","74,318","86,546","28,532",13.0833333333,1141,535,0.47,0.46888694128,1.0
88,2412.0,Sonoma,6107221,75358,95492,Windsor Unified,"41,384,793","3,844.6","10,764","74,318","86,546","28,532",13.0833333333,454,178,0.39,0.392070484581,1.0
89,2407.7,Kern,6060420,63594,93249,Lost Hills Union Elementary,"7,007,268",540.6,"12,963","31,101","40,854","2,739",11.2,324,235,0.73,0.725308641975,0.0
90,2470.71666667,Kern,6102792,63594,93249,Lost Hills Union Elementary,"7,007,268",540.6,"12,963","31,101","40,854","2,739",11.2,186,97,0.52,0.521505376344,0.0
91,2391.85,San Diego,6093272,75614,92082,Valley Center-Pauma Unified,"45,780,222","3,831.8","11,948","78,667","103,557","19,037",17.6896551724,942,525,0.56,0.557324840764,1.0
92,2470.43333333,Alameda,6097679,61242,94587,New Haven Unified,"126,541,102","11,341.7","11,157","90,746","98,262","69,516",15.5789473684,1252,778,0.62,0.621405750799,1.0
